"","X","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality","fname_code"
"4724",20623,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Tenth Ordinary Session of the Assembly",1895,NA,NA,NA,NA,NA,NA,"",NA
"4725",20624,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eleventh Ordinary Session of the Assembly",1895,NA,NA,NA,NA,NA,NA,"",NA
"4726",20625,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Twelfth Ordinary Session of the Assembly",1895,NA,NA,NA,NA,NA,NA,"",NA
"4727",20626,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Special Session of the Assembly Convened in Virtue of Article 15 of the Covenant at the Request of the Chinese Government",1895,NA,NA,NA,NA,NA,NA,"",NA
"4728",20627,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Thirteenth Ordinary Session of the Assembly",1895,NA,NA,NA,NA,NA,NA,"",NA
"4729",20628,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourteenth Ordinary Session of the Assembly",1895,NA,NA,NA,NA,NA,NA,"",NA
"4730",20629,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifteenth Ordinary Session of the Assembly",1895,NA,NA,NA,NA,NA,NA,"",NA
"4731",20630,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Special Session of the Assembly Convened in Virtue of Article 15 of the Covenant and in Accordance with the Assembly of September 27th, 1934",1895,NA,NA,NA,NA,NA,NA,"",NA
"4732",20631,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixteenth Ordinary Session of the Assembly, part two",1895,NA,NA,NA,NA,NA,NA,"",NA
"4733",20632,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventeenth Ordinary Session of the Assembly",1895,NA,NA,NA,NA,NA,NA,"",NA
"4734",20633,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Special Session of the Assembly Convened for the Purpose of Considering the Request of the Kingdom of Egypt for Admission to the League of Nations",1895,NA,NA,NA,NA,NA,NA,"",NA
"4735",20634,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighteenth Ordinary Session of the Assembly",1895,NA,NA,NA,NA,NA,NA,"",NA
"4736",20635,13707,"Auguste J. Schmidt",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Nineteenth Ordinary Session of the Assembly",1895,NA,NA,NA,NA,NA,NA,"",NA
"4737",20636,13708,"Kaarlo Vaino Voionmaa",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Third Ordinary Session of the Assembly",1869,NA,NA,NA,NA,NA,NA,"",NA
"4738",20637,13708,"Kaarlo Vaino Voionmaa",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourth Ordinary Session of the Assembly",1869,NA,NA,NA,NA,NA,NA,"",NA
"4739",20638,13708,"Kaarlo Vaino Voionmaa",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifth Ordinary Session of the Assembly",1869,NA,NA,NA,NA,NA,NA,"",NA
"4740",20639,13708,"Kaarlo Vaino Voionmaa",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventh Ordinary Session of the Assembly",1869,NA,NA,NA,NA,NA,NA,"",NA
"4741",20640,13708,"Kaarlo Vaino Voionmaa",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighth Ordinary Session of the Assembly",1869,NA,NA,NA,NA,NA,NA,"",NA
"4742",20641,13708,"Kaarlo Vaino Voionmaa",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Ninth Ordinary Session of Assembly",1869,NA,NA,NA,NA,NA,NA,"",NA
"4743",20642,13708,"Kaarlo Vaino Voionmaa",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixteenth Ordinary Session of the Assembly, part one",1869,NA,NA,NA,NA,NA,NA,"",NA
"4744",20643,13708,"Kaarlo Vaino Voionmaa",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventeenth Ordinary Session of the Assembly",1869,NA,NA,NA,NA,NA,NA,"",NA
"4745",20644,13709,"Tapio O. Voionmaa",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Nineteenth Ordinary Session of the Assembly",1896,NA,NA,NA,NA,NA,NA,"",NA
"4746",20645,13709,"Tapio O. Voionmaa",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Twentieth (Conclusion) and Twenty-first Ordinary Session of the Assembly",1896,NA,NA,NA,NA,NA,NA,"",NA
"4747",20646,13710,"Paul Faure",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixteenth Ordinary Session of the Assembly, part two",1878,NA,NA,NA,NA,NA,NA,"",NA
"4748",20647,13710,"Paul Faure",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighteenth Ordinary Session of the Assembly",1878,NA,NA,NA,NA,NA,NA,"",NA
"4749",20648,13711,"Jean Patrick Hennessy",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Second Ordinary Session of the Assembly",1874,NA,NA,NA,NA,NA,NA,"",NA
"4750",20649,13712,"Lucien Hubert",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighth Ordinary Session of the Assembly",1868,NA,NA,NA,NA,NA,NA,"",NA
"4751",20650,13712,"Lucien Hubert",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Ninth Ordinary Session of Assembly",1868,NA,NA,NA,NA,NA,NA,"",NA
"4752",20651,13712,"Lucien Hubert",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Tenth Ordinary Session of the Assembly",1868,NA,NA,NA,NA,NA,NA,"",NA
"4753",20652,13712,"Lucien Hubert",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Thirteenth Ordinary Session of the Assembly",1868,NA,NA,NA,NA,NA,NA,"",NA
"4754",20653,13712,"Lucien Hubert",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourteenth Ordinary Session of the Assembly",1868,NA,NA,NA,NA,NA,NA,"",NA
"4755",20654,13713,"Andre Marie",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourteenth Ordinary Session of the Assembly",1897,NA,NA,NA,NA,NA,NA,"",NA
"4756",20655,13714,"Louis Germain Martin",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourteenth Ordinary Session of the Assembly",1864,NA,NA,NA,NA,NA,NA,"",NA
"4757",20656,13714,"Louis Germain Martin",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifteenth Ordinary Session of the Assembly",1864,NA,NA,NA,NA,NA,NA,"",NA
"4758",20657,13715,"Richard William Martin",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Second Ordinary Session of the Assembly",NA,NA,NA,NA,NA,NA,NA,"",NA
"4759",20658,13716,"Maurice Sarraut",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifth Ordinary Session of the Assembly",1869,NA,NA,NA,NA,NA,NA,"",NA
"4760",20659,13717,"Friedrich August Wilhelm von Keller",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourteenth Ordinary Session of the Assembly",1873,NA,NA,NA,NA,NA,NA,"",NA
"4761",20660,13718,"Hermann Muller",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Ninth Ordinary Session of Assembly",1876,NA,NA,NA,NA,NA,NA,"",NA
"4762",20661,13719,"Fredrick von Rosenberg",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Thirteenth Ordinary Session of the Assembly",1874,NA,NA,NA,NA,NA,NA,"",NA
"4763",20662,13720,"Carl Theodor Conrad von Schubert",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventh Ordinary Session of the Assembly",1882,NA,NA,NA,NA,NA,NA,"",NA
"4764",20663,13720,"Carl Theodor Conrad von Schubert",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighth Ordinary Session of the Assembly",1882,NA,NA,NA,NA,NA,NA,"",NA
"4765",20664,13720,"Carl Theodor Conrad von Schubert",NA,"League of Nations General Assembly Delegate","Representative","General Assembly: Ninth Ordinary Session of Assembly",1882,NA,NA,NA,NA,NA,NA,"",NA
