"","name","avg_rank","sd_rank","median_rank","duration","entry_age","gender","nationality"
"1227","Marguerite Mercier",7,0,7,1,16,"female","swiss"
"1228","Doreen Swallow",6,0,6,-5,NA,"female","english"
"1229","Claire David",7,0,7,1,16,"female","french"
"1230","Doris Nellie Allen",8,0,8,28,22,"female","english"
"1231","Ernest Kaiser ",6,0,6,123,24,"male","swiss"
"1232","Paul David",9,0,9,1,23,"male","swiss"
"1233","Fernand  Callendrier",9,0,9,5,33,"male","french"
"1234","Cécile  Merkli",6,0,6,12,26,"female","swiss"
"1235","Mr. Alfred Isch",7,1.4142135623731,6.5,167,21,"male","swiss"
"1236","Ruth Bache-Wiig",6,0,6,41,29,"male","us-american"
"1237","Gilberte Marie Eugénie Callier",3,0,3,-8,28,"female","french"
"1238","Yvonne Marie Francoise Marguerite David",6,0,6,1,31,"female","french"
"1239","Magnus Caluori",9,0,9,1,28,"male","swiss"
"1240","Georges Kaiser",7,0,7,62,23,"male","swiss"
"1241","Dorothea Weger",6,0,6,70,40,"female","english"
"1242","Silvia Anna Marie-Rose Calvi-Fuhrer",6,0,6,63,30,"female","italian,swiss"
"1243","Héléne Kalt",6,0,6,10,24,"female","swiss"
"1244","Ernest Bachmann",8,0,8,-1,49,"male","swiss"
"1245","Alfred Lewis Davies",3,0,3,1,NA,"male","british"
"1246","Marthe Merkli",7,0,7,81,28,"female","swiss"
"1247","Fritz Bachmann",8,0,8,231,35,"male","swiss"
"1248","Charles Kaltenrieder",9,0,9,28,31,"male","swiss"
"1249","Mr. Hans Isch",5,0,5,50,20,"male","swiss"
"1250","Maria Bachmann",9,0,9,132,36,"female","swiss"
"1251","Georges Eggimann",6.66666666666667,0.577350269189626,7,177,20,"male","swiss"
"1252","Georges Kaminker",3,0,3,NA,NA,"male","french"
"1253","Mrs. Yvonne Isch",7,0,7,1,29,"female","swiss"
"1254","Dorothy  Pratt née Trowell",8,0,8,1,NA,"female","english"
"1255","Charles Meroni",7,0,7,1,25,"male","swiss"
"1256","Robert Iseli",9,0,9,1,NA,"male","unknown"
"1257","Louis Daviet",9,0,9,46,18,"male","swiss"
"1258","Hermann Messerli",7,0,7,2,25,"male","swiss"
"1259","Rosa Kamm",9,0,9,22,27,"female","swiss,german"
"1260","Dorothy Isherwood",6,0,6,7,21,"female","english"
"1261","Rolf Bachmann",8,0,8,118,12,"male","swiss"
"1262","Renée Messerli",7,1.4142135623731,7,5,23,"female","swiss"
"1263","Dorothy Bransom  Griffiths",6,0,6,1,33,"female","english"
"1264","Jean Karlen",9,0,9,126,57,"male","swiss"
"1265","Marthe Gabrielle Elise Calvo",6,0,6,144,25,"female","french,italian"
"1266","Dorothy Jacobs",6,0,6,4,NA,"female","english"
"1267","Mr. Jakob Isler",9,0,9,93,21,"male","swiss"
"1268","Doris Eva Karmin ",6,0,6,36,22,"female","swiss"
"1269","Dorothy Annie Goodall",6,0,6,137,24,"female","english"
"1270","Kathleen Mary Goode",6,0,6,90,27,"female","english"
"1271","Dorothy Jane Siebert",6,0,6,130,31,"female","english"
"1272","Renée Marguerite Cambassedes",8,0,8,1,21,"female","swiss"
"1273","Célina Katchatouroff-Lacroix",8,0,8,133,39,"female","swiss"
"1274","Jeanne Eggimann",6.33333333333333,0.577350269189626,6,264,16,"female","swiss"
"1275","Julie Camenzind",9,0,9,18,44,"female","swiss"
"1276","Dorothy Jobson",6,0,6,20,24,"female","english"
"1277","Casimir Antoine Kaufmann",6,0,6,110,34,"male","swiss"
